Ajtók száma,Body Type,CO2-kibocsátás,Csomagtér térfogata,Dimensions and Weight,Első terepszög,Engine and Transmission,Equipment,Fordulási kör átmérője,General Information,Gumiméret,Gyorsulás 0-ról 100 km/h-ra,Gyártási időszak,Hajtás,Hasmagasság,Hasznos teher,Hengerek száma,Hengerelrendezés,Hengerűrtartalom,Hosszúság,Hátsó terepszög,Kategória,Kivitel,Környezetvédelmi osztály,Magasság,Maximális forgatónyomaték,Maximális teljesítmény,Országúti fogyasztás,Performance,Rámpaszög,Saját tömeg,Sebességváltó,Szállítható személyek száma,Szélesség,Tengelytáv,Vegyes fogyasztás,Városi fogyasztás,Végsebesség,Össztömeg,Újkori ára,Üzemanyag,Üzemanyagtank
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,1966-1990,Első kerék,Not available,Not available,2 henger,Not available,594 cm³,Not available,Not available,Not available,Kombi,Not available,Not available,Not available,"19 kW, 26 LE",Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Benzin,Not available
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,1963–,Hátsó kerék,Not available,Not available,4 henger,Not available,1 493 cm³,Not available,Not available,Not available,Lépcsőshátú,Not available,Not available,Not available,"40 kW, 54 LE",Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Benzin,Not available
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,1965-1973,Hátsó kerék,Not available,Not available,4 henger,Boxer,1 584 cm³,Not available,Not available,Not available,Ferdehátú,Not available,Not available,Not available,"40 kW, 54 LE",Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Benzin,Not available
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,1961-1973,Hátsó kerék,Not available,Not available,4 henger,Boxer,1 493 cm³,Not available,Not available,Not available,Kombi,Not available,Not available,Not available,"33 kW, 45 LE",Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Benzin,Not available
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,1967-1972,Hátsó kerék,Not available,Not available,4 henger,Soros,1 780 cm³,Not available,Not available,Not available,Lépcsőshátú,Not available,Not available,Not available,"74 kW, 101 LE",Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Benzin,Not available
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,1968-1972,Hátsó kerék,Not available,Not available,4 henger,Soros,1 986 cm³,Not available,Not available,Not available,Lépcsőshátú,Not available,Not available,Not available,"74 kW, 101 LE",Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Benzin,Not available
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,1971-1972,Hátsó kerék,Not available,Not available,4 henger,Soros,1 986 cm³,Not available,Not available,Not available,Lépcsőshátú,Not available,Not available,Not available,"70 kW, 95 LE",Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Benzin,Not available
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,1972-1974,Hátsó kerék,Not available,Not available,4 henger,Soros,1 986 cm³,Not available,Not available,Not available,Kombi,Not available,Not available,Not available,"74 kW, 101 LE",Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Benzin,Not available
